sep=,
DeviceTag:,scapula
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-06-22_10:04:46_985 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,626071688,-0.786235,0.675696,10.140981,2.506454,-3.884476,-14.055812,-0.030058,-0.039887,0.006684,0.998731,
2,626088355,-0.780878,0.532218,10.183030,-3.761523,-3.392610,-15.463999,-0.027736,-0.039474,0.005804,0.998820,
3,626105022,-0.794376,0.347562,10.229039,-7.738515,-2.855653,-16.392954,-0.025303,-0.039124,0.004339,0.998906,
4,626121689,-0.755181,0.129715,10.275984,-9.165658,-2.397839,-17.050884,-0.022782,-0.038835,0.002662,0.998984,
5,626138356,-0.728954,-0.055098,10.251799,-8.407392,-1.773630,-17.402430,-0.020205,-0.038640,0.001090,0.999050,
6,626155023,-0.686435,-0.195641,10.262779,-5.773865,-0.989599,-17.396576,-0.017615,-0.038565,-0.000101,0.999102,
7,626171690,-0.673887,-0.270240,10.278012,-1.819976,-0.352674,-17.116304,-0.015043,-0.038594,-0.000718,0.999143,
8,626188357,-0.690767,-0.303658,10.280176,2.084511,-0.075750,-16.588005,-0.012525,-0.038670,-0.000765,0.999174,
9,626205024,-0.687338,-0.269286,10.236545,5.162341,0.048991,-15.758331,-0.010111,-0.038770,-0.000360,0.999198,
10,626221691,-0.659223,-0.191541,10.209350,7.345517,-0.235855,-14.716084,-0.007836,-0.038832,0.000367,0.999216,
11,626238358,-0.646199,-0.091151,10.226521,8.273325,-0.696167,-13.646817,-0.005711,-0.038828,0.001237,0.999230,
12,626255025,-0.629627,0.015489,10.176751,7.772416,-1.218051,-12.289149,-0.003787,-0.038747,0.002041,0.999241,
13,626271692,-0.622744,0.082200,10.157639,5.940670,-1.728192,-10.973895,-0.002063,-0.038590,0.002586,0.999251,
14,626288359,-0.601615,0.090300,10.145883,3.511060,-2.451828,-9.416026,-0.000579,-0.038327,0.002788,0.999262,
15,626305026,-0.583177,0.062403,10.214141,1.319970,-2.972969,-7.877635,0.000669,-0.037987,0.002680,0.999276,
16,626321693,-0.528409,0.032193,10.261767,-0.121212,-3.339500,-6.095953,0.001650,-0.037593,0.002372,0.999290,
17,626338360,-0.524400,0.019354,10.242398,-0.822424,-3.143908,-4.248532,0.002360,-0.037226,0.001972,0.999303,
18,626355027,-0.480969,0.008349,10.275576,-1.128406,-2.496880,-2.471254,0.002809,-0.036954,0.001538,0.999313,
19,626371694,-0.489865,-0.035654,10.279027,-1.156388,-1.856870,-0.754640,0.003008,-0.036773,0.001109,0.999320,
20,626388361,-0.493465,-0.085799,10.286477,-0.268293,-1.121260,0.917786,0.002969,-0.036699,0.000818,0.999323,
21,626405028,-0.495864,-0.085656,10.323457,1.478564,-0.603973,2.580883,0.002697,-0.036699,0.000790,0.999324,
22,626421695,-0.517158,-0.009175,10.348148,3.256751,-0.138462,4.178309,0.002202,-0.036766,0.001030,0.999322,
23,626438362,-0.530585,0.071289,10.328081,3.969630,0.270630,5.588737,0.001506,-0.036891,0.001380,0.999318,
24,626455029,-0.549982,0.124493,10.217037,3.210943,0.847697,6.681811,0.000647,-0.037100,0.001626,0.999311,
25,626471696,-0.580308,0.117865,10.181051,1.893733,1.215957,7.371087,-0.000320,-0.037363,0.001685,0.999302,
26,626488363,-0.592056,0.098929,10.199209,1.215048,1.289286,7.968196,-0.001377,-0.037635,0.001648,0.999290,
27,626505030,-0.622876,0.100709,10.245042,1.284868,1.078327,8.635150,-0.002530,-0.037877,0.001625,0.999279,
28,626521697,-0.640862,0.147842,10.203515,1.261176,1.035618,9.135482,-0.003756,-0.038113,0.001601,0.999266,
29,626538364,-0.685224,0.178541,10.214278,0.612240,0.925189,9.469600,-0.005034,-0.038332,0.001485,0.999253,
30,626555031,-0.719461,0.200304,10.222181,-0.496477,0.685518,9.584819,-0.006335,-0.038515,0.001209,0.999238,
31,626571698,-0.692990,0.134071,10.271845,-1.674789,0.268056,9.492446,-0.007629,-0.038636,0.000761,0.999225,
32,626588365,-0.717028,0.069079,10.311808,-2.242328,-0.294380,9.288543,-0.008897,-0.038675,0.000231,0.999213,
33,626605032,-0.728215,0.002869,10.295597,-1.917700,-0.435147,8.995305,-0.010120,-0.038694,-0.000254,0.999201,
34,626621699,-0.749929,-0.021363,10.221745,-0.781642,-0.353321,8.550277,-0.011273,-0.038726,-0.000576,0.999187,
35,626638366,-0.750809,-0.041975,10.217506,0.681343,-0.484541,7.960883,-0.012331,-0.038741,-0.000689,0.999174,
36,626655033,-0.730229,-0.044485,10.199817,1.856248,-0.727209,7.460948,-0.013309,-0.038724,-0.000634,0.999162,
37,626671700,-0.733184,-0.037451,10.203051,2.897687,-0.939103,6.743050,-0.014178,-0.038677,-0.000431,0.999152,
38,626688367,-0.728507,0.023889,10.179545,3.736952,-0.744292,5.940464,-0.014925,-0.038661,-0.000111,0.999142,
39,626705034,-0.730871,0.118565,10.216654,4.172777,-0.421265,5.262649,-0.015572,-0.038692,0.000267,0.999131,
40,626721701,-0.765675,0.189888,10.258275,3.886760,-0.116371,4.380278,-0.016092,-0.038767,0.000599,0.999120,
41,626738368,-0.801989,0.229849,10.232479,2.305546,-0.020144,3.366245,-0.016474,-0.038852,0.000695,0.999110,
42,626755035,-0.830636,0.204808,10.257703,0.343652,-0.048639,2.045975,-0.016674,-0.038929,0.000498,0.999104,
43,626771702,-0.807987,0.155650,10.236180,-1.294748,-0.073585,0.729840,-0.016692,-0.038998,0.000056,0.999101,
44,626788369,-0.834914,0.098220,10.222914,-2.107426,-0.179366,-0.522179,-0.016533,-0.039050,-0.000510,0.999102,
45,626805036,-0.844121,0.058666,10.232028,-1.992758,-0.088197,-1.782759,-0.016191,-0.039116,-0.001068,0.999104,
46,626821703,-0.847818,0.005946,10.223696,-1.306926,-0.144494,-2.771986,-0.015700,-0.039175,-0.001531,0.999109,
47,626838370,-0.842689,-0.006204,10.231776,-0.717809,-0.536343,-3.742848,-0.015066,-0.039178,-0.001913,0.999118,
48,626855037,-0.843642,-0.046360,10.208858,-0.544449,-1.042539,-4.636898,-0.014300,-0.039107,-0.002274,0.999131,
49,626871704,-0.812615,-0.110522,10.199780,-0.033796,-1.700517,-5.508024,-0.013406,-0.038942,-0.002565,0.999149,
50,626888371,-0.788669,-0.176821,10.203989,0.998210,-2.198914,-6.121167,-0.012416,-0.038707,-0.002708,0.999171,
51,626905038,-0.778398,-0.192476,10.186055,2.713058,-2.554983,-6.557762,-0.011353,-0.038422,-0.002603,0.999195,
52,626921705,-0.725474,-0.162912,10.206164,4.203500,-2.975441,-6.956283,-0.010225,-0.038079,-0.002284,0.999221,
53,626938372,-0.723871,-0.103481,10.219463,4.596859,-3.239495,-7.321481,-0.009041,-0.037698,-0.001910,0.999248,
54,626955039,-0.689577,-0.041737,10.188536,3.838276,-3.326950,-7.464810,-0.007841,-0.037303,-0.001646,0.999273,
55,626971706,-0.642919,-0.027004,10.174168,2.372050,-3.245872,-7.453540,-0.006650,-0.036918,-0.001595,0.999296,
56,626988373,-0.650637,-0.058891,10.165339,0.947920,-3.235064,-7.453348,-0.005467,-0.036533,-0.001752,0.999317,
57,627005040,-0.616103,-0.087506,10.181509,-0.063058,-2.967001,-7.357263,-0.004303,-0.036187,-0.002055,0.999335,
58,627021707,-0.586006,-0.130572,10.189174,-0.253412,-2.773664,-6.893621,-0.003207,-0.035868,-0.002383,0.999350,
59,627038374,-0.530542,-0.165545,10.185276,0.025248,-2.416520,-6.441429,-0.002175,-0.035601,-0.002669,0.999361,
60,627055041,-0.508083,-0.152110,10.201933,0.461009,-2.047927,-5.639789,-0.001258,-0.035389,-0.002888,0.999370,
61,627071708,-0.473138,-0.147971,10.219437,1.200730,-1.607671,-4.821821,-0.000455,-0.035241,-0.002995,0.999375,
62,627088375,-0.470411,-0.129505,10.245599,2.113054,-0.933147,-3.923161,0.000222,-0.035191,-0.002964,0.999377,
63,627105042,-0.444078,-0.075076,10.309443,2.324858,-0.049304,-3.115439,0.000783,-0.035270,-0.002899,0.999375,
64,627121709,-0.471411,-0.040158,10.375108,1.758510,0.624610,-2.387860,0.001236,-0.035447,-0.002913,0.999368,
65,627138376,-0.502934,-0.051389,10.394290,0.552063,1.247947,-1.894059,0.001610,-0.035714,-0.003099,0.999357,
66,627155043,-0.531464,-0.060497,10.365720,-0.675112,1.528560,-1.519140,0.001924,-0.036024,-0.003462,0.999344,
67,627171710,-0.507116,-0.114270,10.296379,-1.099105,1.415812,-1.064861,0.002170,-0.036316,-0.003884,0.999332,
68,627188377,-0.530579,-0.146746,10.264193,-0.359654,1.159749,-0.298734,0.002308,-0.036572,-0.004194,0.999321,
69,627205044,-0.523489,-0.167608,10.227266,1.494661,0.794820,0.593081,0.002326,-0.036775,-0.004230,0.999313,
70,627221711,-0.533378,-0.133660,10.149266,3.328274,0.424831,1.443999,0.002230,-0.036923,-0.003996,0.999309,
71,627238378,-0.542789,-0.076484,10.146609,4.500465,0.066446,2.229681,0.002026,-0.037020,-0.003587,0.999307,
72,627255045,-0.563626,-0.006179,10.148188,4.955846,-0.363790,2.953035,0.001719,-0.037054,-0.003108,0.999308,
73,627271712,-0.570042,0.030748,10.163542,4.711360,-0.732690,3.568880,0.001321,-0.037035,-0.002661,0.999311,
74,627288379,-0.578202,0.075460,10.196855,3.657808,-1.087989,4.048042,0.000847,-0.036964,-0.002365,0.999315,
75,627305046,-0.591087,0.110901,10.223442,2.084996,-1.614958,4.301404,0.000328,-0.036817,-0.002297,0.999321,
76,627321713,-0.608170,0.096988,10.254004,0.149188,-2.143450,4.375961,-0.000212,-0.036594,-0.002509,0.999328,
77,627338380,-0.615644,0.026498,10.315086,-1.396712,-2.379881,4.334572,-0.000755,-0.036336,-0.002946,0.999336,
78,627355047,-0.629738,-0.074820,10.330630,-1.465482,-2.300866,4.335533,-0.001299,-0.036089,-0.003393,0.999343,
79,627371714,-0.617095,-0.131472,10.296300,-0.342467,-1.867537,4.161481,-0.001811,-0.035905,-0.003678,0.999348,
80,627388381,-0.611883,-0.167491,10.283161,1.362231,-1.229883,4.279364,-0.002330,-0.035815,-0.003714,0.999350,
81,627405048,-0.603464,-0.134540,10.247498,3.154825,-0.317508,4.127993,-0.002818,-0.035857,-0.003491,0.999348,
82,627421715,-0.592520,-0.087709,10.204856,4.154912,0.797484,4.066010,-0.003291,-0.036063,-0.003124,0.999340,
83,627438382,-0.609958,-0.023140,10.131145,4.367868,1.724612,3.879152,-0.003735,-0.036402,-0.002727,0.999328,
84,627455049,-0.644552,0.020431,10.102070,3.999673,2.471107,3.488494,-0.004124,-0.036850,-0.002387,0.999311,
85,627471716,-0.680595,0.081552,10.106842,2.929254,2.726158,2.937565,-0.004439,-0.037334,-0.002205,0.999292,
86,627488383,-0.715990,0.135784,10.154651,1.070707,2.584481,2.482633,-0.004698,-0.037797,-0.002295,0.999273,
87,627505050,-0.766006,0.114540,10.256507,-1.098644,1.920037,1.844736,-0.004876,-0.038161,-0.002704,0.999257,
88,627521717,-0.814042,0.038502,10.301634,-2.900100,1.025385,1.337579,-0.004991,-0.038393,-0.003376,0.999246,
89,627538384,-0.841817,-0.062721,10.316639,-3.245871,0.011417,0.775444,-0.005027,-0.038478,-0.004101,0.999240,
90,627555051,-0.849093,-0.151506,10.304530,-2.245222,-0.915091,0.272180,-0.004984,-0.038428,-0.004683,0.999239,
91,627571718,-0.818362,-0.175234,10.314844,-0.943034,-1.791672,-0.003240,-0.004894,-0.038252,-0.005077,0.999244,
92,627588385,-0.789829,-0.216063,10.266359,0.278051,-2.411525,-0.466535,-0.004731,-0.037987,-0.005295,0.999254,
93,627605052,-0.790509,-0.217309,10.203706,1.266478,-2.446679,-0.892116,-0.004501,-0.037716,-0.005372,0.999265,
94,627621719,-0.737471,-0.225830,10.179694,2.497347,-2.055355,-1.252051,-0.004211,-0.037504,-0.005273,0.999275,
95,627638386,-0.723456,-0.233707,10.190403,3.784167,-1.526709,-1.672624,-0.003852,-0.037368,-0.004989,0.999283,
96,627655053,-0.738776,-0.173625,10.213367,4.577470,-0.969402,-1.954915,-0.003448,-0.037314,-0.004592,0.999288,
97,627671720,-0.739191,-0.143541,10.171197,4.485354,-0.535062,-2.269529,-0.002998,-0.037323,-0.004210,0.999291,
98,627688387,-0.748355,-0.090018,10.199442,3.564334,0.076319,-2.683827,-0.002492,-0.037420,-0.003964,0.999290,
99,627705054,-0.743148,-0.062603,10.198846,2.225519,0.363066,-3.034439,-0.001944,-0.037558,-0.003916,0.999286,
100,627721721,-0.750080,-0.079645,10.252118,1.128399,0.238243,-3.281448,-0.001365,-0.037677,-0.004027,0.999282,
101,627738388,-0.769715,-0.087910,10.266954,0.470038,-0.299451,-3.352651,-0.000779,-0.037719,-0.004235,0.999280,
102,627755055,-0.795415,-0.094041,10.333747,0.249705,-0.997743,-3.336054,-0.000198,-0.037658,-0.004475,0.999282,
103,627771722,-0.757809,-0.124522,10.316153,-0.103936,-1.788317,-3.242837,0.000368,-0.037483,-0.004766,0.999287,
104,627788389,-0.740517,-0.174310,10.243782,-0.630213,-2.247079,-3.220951,0.000926,-0.037242,-0.005133,0.999294,
105,627805056,-0.721656,-0.239208,10.152952,-0.585686,-2.511133,-3.216712,0.001485,-0.036962,-0.005494,0.999302,
106,627821723,-0.680196,-0.317875,10.095019,0.544059,-2.602596,-3.117373,0.002035,-0.036668,-0.005690,0.999310,
107,627838390,-0.622602,-0.319931,10.122284,2.867067,-2.642962,-2.651325,0.002529,-0.036369,-0.005546,0.999321,
108,627855057,-0.605511,-0.269506,10.153447,5.253197,-2.494498,-2.250639,0.002978,-0.036090,-0.005053,0.999333,
109,627871724,-0.596663,-0.164365,10.182896,7.122912,-2.282553,-1.739448,0.003363,-0.035842,-0.004286,0.999344,
110,627888391,-0.549413,-0.050394,10.188277,7.326982,-2.010046,-1.312152,0.003686,-0.035633,-0.003487,0.999353,
111,627905058,-0.540891,0.024620,10.270650,6.109071,-1.686750,-1.048494,0.003967,-0.035472,-0.002863,0.999360,
112,627921725,-0.541410,0.022758,10.283085,4.231737,-1.551413,-0.977893,0.004226,-0.035332,-0.002512,0.999365,
113,627938392,-0.501461,0.000622,10.327131,2.486141,-1.291738,-0.936528,0.004471,-0.035231,-0.002414,0.999368,
114,627955059,-0.508784,-0.020026,10.354440,1.432768,-1.036251,-0.865568,0.004700,-0.035167,-0.002468,0.999369,
115,627971726,-0.534213,-0.011579,10.347977,1.075112,-0.817378,-0.680798,0.004900,-0.035136,-0.002573,0.999369,
116,627988393,-0.535387,-0.019160,10.339479,0.872439,-0.591205,-0.399353,0.005059,-0.035137,-0.002707,0.999367,
117,628005060,-0.532905,-0.069099,10.311146,0.517473,-0.345861,-0.325563,0.005205,-0.035175,-0.002891,0.999365,
118,628021727,-0.550636,-0.081205,10.264219,0.405110,-0.006928,-0.406512,0.005362,-0.035261,-0.003092,0.999360,
119,628038394,-0.576469,-0.075763,10.245268,0.793449,0.139852,-0.395921,0.005520,-0.035369,-0.003236,0.999355,
120,628055061,-0.571118,-0.075052,10.215312,1.308342,0.166399,-0.311707,0.005668,-0.035480,-0.003305,0.999350,
121,628071728,-0.586446,-0.026122,10.200381,1.904221,0.046852,-0.078042,0.005786,-0.035573,-0.003286,0.999346,
122,628088395,-0.623469,-0.014781,10.192863,2.187792,0.095888,0.091393,0.005880,-0.035674,-0.003225,0.999342,
123,628105062,-0.637283,-0.003397,10.207383,2.437170,0.107298,0.210581,0.005958,-0.035776,-0.003127,0.999338,
124,628121729,-0.647862,-0.005078,10.190962,2.432829,-0.158325,0.341385,0.006017,-0.035839,-0.003029,0.999336,
125,628138396,-0.658699,-0.006476,10.256026,2.206758,-0.489971,0.419952,0.006064,-0.035854,-0.002964,0.999335,
126,628155063,-0.682087,0.001849,10.217299,2.035627,-0.861816,0.431657,0.006107,-0.035815,-0.002925,0.999337,
127,628171730,-0.674805,0.007276,10.284237,2.202263,-1.245750,0.543662,0.006135,-0.035721,-0.002860,0.999340,
128,628188397,-0.636619,0.014195,10.274598,2.489254,-1.602933,0.780823,0.006130,-0.035575,-0.002753,0.999346,
129,628205064,-0.625913,0.033420,10.248148,2.534345,-1.752446,1.014397,0.006091,-0.035406,-0.002638,0.999352,
130,628221731,-0.630776,0.032833,10.225674,2.241912,-1.699083,1.172556,0.006027,-0.035246,-0.002565,0.999358,
131,628238398,-0.630352,-0.002712,10.225534,1.636043,-1.525415,1.156894,0.005963,-0.035112,-0.002580,0.999364,
132,628255065,-0.634523,-0.023676,10.233012,1.432358,-1.370011,1.093144,0.005908,-0.035000,-0.002625,0.999368,
133,628271732,-0.638682,-0.042236,10.255813,1.489244,-1.168285,1.159814,0.005842,-0.034918,-0.002661,0.999371,
134,628288399,-0.640523,-0.021100,10.266833,1.736458,-0.875442,1.322685,0.005754,-0.034878,-0.002659,0.999373,
135,628305066,-0.669103,-0.012566,10.251039,1.720258,-0.746252,1.454347,0.005647,-0.034857,-0.002660,0.999374,
136,628321733,-0.686487,0.013465,10.263957,1.289990,-0.493710,1.477308,0.005535,-0.034873,-0.002723,0.999374,
137,628338400,-0.665713,-0.011397,10.242515,0.518625,-0.311463,1.460430,0.005422,-0.034917,-0.002897,0.999373,
138,628355067,-0.672585,-0.053981,10.211929,-0.150974,-0.251069,1.409281,0.005312,-0.034969,-0.003169,0.999370,
139,628371734,-0.670651,-0.091016,10.208053,-0.006198,-0.060715,1.345377,0.005213,-0.035049,-0.003421,0.999367,
140,628388401,-0.664025,-0.096606,10.196957,0.557172,0.029884,1.438185,0.005103,-0.035142,-0.003590,0.999364,
141,628405068,-0.665460,-0.078576,10.198590,1.414737,0.016270,1.506225,0.004987,-0.035233,-0.003634,0.999361,
142,628421735,-0.684100,-0.049975,10.206635,1.358990,-0.038867,1.526408,0.004868,-0.035315,-0.003686,0.999359,
143,628438402,-0.678620,-0.045358,10.228127,0.467374,-0.341123,1.479345,0.004752,-0.035354,-0.003868,0.999357,
144,628455069,-0.705419,-0.096814,10.225504,-0.625398,-0.851968,1.343213,0.004649,-0.035320,-0.004210,0.999358,
145,628471736,-0.702363,-0.160639,10.194055,-1.206858,-1.300831,1.111124,0.004577,-0.035221,-0.004638,0.999360,
146,628488403,-0.679912,-0.206306,10.214725,-0.625052,-1.686635,0.948150,0.004531,-0.035065,-0.004982,0.999364,
147,628505070,-0.659732,-0.201071,10.234550,0.662338,-1.970846,0.838848,0.004507,-0.034867,-0.005140,0.999370,
148,628521737,-0.640482,-0.171607,10.241005,1.933765,-2.253738,0.722118,0.004507,-0.034627,-0.005115,0.999378,
149,628538404,-0.645641,-0.124703,10.237230,2.659514,-2.274177,0.690269,0.004516,-0.034383,-0.004984,0.999387,
150,628555071,-0.638598,-0.131269,10.210515,2.451013,-2.386476,0.504461,0.004550,-0.034124,-0.004884,0.999397,
151,628571738,-0.595681,-0.168933,10.214970,2.051148,-2.436856,0.137636,0.004635,-0.033856,-0.004845,0.999405,
152,628588405,-0.597443,-0.172455,10.243233,1.919230,-2.061182,-0.272814,0.004779,-0.033644,-0.004826,0.999412,
153,628605072,-0.594658,-0.159140,10.239413,2.049586,-1.743751,-0.505684,0.004958,-0.033477,-0.004789,0.999417,
154,628621739,-0.582027,-0.134995,10.296450,1.921830,-1.312702,-0.638397,0.005156,-0.033373,-0.004772,0.999420,
155,628638406,-0.604607,-0.134135,10.284827,1.219248,-1.089961,-0.805814,0.005374,-0.033302,-0.004857,0.999420,
156,628655073,-0.600058,-0.151881,10.235277,0.308857,-0.683296,-1.140841,0.005638,-0.033290,-0.005076,0.999418,
157,628671740,-0.575552,-0.225059,10.250015,-0.135504,-0.381130,-1.354412,0.005931,-0.033322,-0.005360,0.999414,
158,628688407,-0.576210,-0.235480,10.163207,0.242226,-0.152908,-1.610258,0.006263,-0.033387,-0.005590,0.999409,
159,628705074,-0.594554,-0.262554,10.191012,1.185810,-0.187485,-1.513544,0.006586,-0.033446,-0.005683,0.999404,
160,628721741,-0.564313,-0.244825,10.224090,2.395152,-0.299976,-1.449269,0.006904,-0.033488,-0.005600,0.999401,
161,628738408,-0.587965,-0.213933,10.198502,3.117770,-0.546383,-1.501416,0.007234,-0.033493,-0.005413,0.999399,
162,628755075,-0.606794,-0.183345,10.205475,3.231689,-0.653393,-1.452996,0.007558,-0.033483,-0.005208,0.999398,
163,628771742,-0.585565,-0.208302,10.213447,3.159832,-0.824767,-1.445632,0.007880,-0.033448,-0.005015,0.999398,
164,628788409,-0.574822,-0.217458,10.208104,3.526965,-1.247595,-1.474792,0.008207,-0.033350,-0.004769,0.999400,
165,628805076,-0.552110,-0.187690,10.233651,4.115366,-1.691937,-1.501788,0.008541,-0.033188,-0.004438,0.999404,
166,628821743,-0.557982,-0.102331,10.251295,4.560489,-2.309561,-1.343617,0.008854,-0.032935,-0.004042,0.999411,
167,628838410,-0.566186,-0.043465,10.278747,4.409963,-2.762740,-1.047611,0.009123,-0.032617,-0.003668,0.999421,
168,628855077,-0.549378,-0.001702,10.270603,3.524340,-2.827553,-0.763515,0.009346,-0.032290,-0.003421,0.999430,
