sep=,
DeviceTag:,scapula
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-06-22_09:57:16_012 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,175146003,-0.365332,-0.482813,10.324549,4.154528,1.147519,3.067320,0.058506,0.008111,0.014532,-0.998148,
2,175162670,-0.330205,-0.442179,10.100739,5.424982,1.508018,2.924695,0.058949,0.008457,0.014018,-0.998127,
3,175179337,-0.319365,-0.379781,9.905478,5.667279,1.767514,2.459582,0.059316,0.008844,0.013472,-0.998109,
4,175196004,-0.352058,-0.362914,9.887407,5.248292,1.927362,1.858976,0.059463,0.009249,0.012987,-0.998103,
5,175212671,-0.370484,-0.331128,9.926403,4.581824,1.681442,1.235448,0.059527,0.009612,0.012598,-0.998101,
6,175229338,-0.434698,-0.319273,10.033311,3.666157,1.609893,0.565343,0.059207,0.009947,0.012338,-0.998120,
7,175246005,-0.547938,-0.320035,10.173730,2.469686,1.582013,-0.437670,0.058913,0.010270,0.012255,-0.998135,
8,175262672,-0.702099,-0.382338,10.309577,1.171954,1.715891,-1.776369,0.058698,0.010609,0.012368,-0.998143,
9,175279339,-0.769078,-0.442564,10.419016,0.128063,1.167901,-3.219862,0.058581,0.010860,0.012634,-0.998144,
10,175296006,-0.790890,-0.485918,10.472733,-0.645146,-0.444342,-4.447927,0.057953,0.010862,0.012996,-0.998176,
11,175312673,-0.778449,-0.521234,10.445843,-0.612848,-2.232339,-5.374916,0.057049,0.010602,0.013338,-0.998226,
12,175329340,-0.800782,-0.524526,10.340168,-0.047089,-3.290873,-5.909119,0.056157,0.010190,0.013592,-0.998277,
13,175346007,-0.772882,-0.517394,10.253665,0.848901,-3.424008,-6.308639,0.055289,0.009770,0.013716,-0.998329,
14,175362674,-0.702529,-0.481975,10.158296,1.844979,-3.255298,-6.583912,0.054548,0.009384,0.013699,-0.998373,
15,175379341,-0.558247,-0.431701,10.039945,3.355219,-2.957179,-6.614711,0.053804,0.009057,0.013466,-0.998420,
16,175396008,-0.383827,-0.347914,9.897501,5.328166,-3.008455,-6.404354,0.052986,0.008740,0.012945,-0.998473,
17,175412675,-0.260392,-0.244928,9.891655,6.879093,-2.646279,-6.326659,0.051922,0.008481,0.012198,-0.998541,
18,175429342,-0.149858,-0.165004,9.832026,7.566781,-2.329578,-6.336507,0.051399,0.008284,0.011359,-0.998579,
19,175446009,-0.034141,-0.059516,9.829570,7.764768,-2.244839,-6.278776,0.050539,0.008095,0.010489,-0.998634,
20,175462676,-0.015082,0.018333,9.906495,7.680195,-2.401524,-6.429328,0.048991,0.007871,0.009622,-0.998722,
21,175479343,-0.070682,0.056781,10.146366,7.217206,-2.827515,-6.566227,0.048160,0.007596,0.008828,-0.998772,
22,175496010,-0.068339,0.098204,10.374734,6.450862,-3.620356,-6.763446,0.046517,0.007182,0.008131,-0.998859,
23,175512677,-0.016753,0.086667,10.468175,5.190767,-4.693246,-6.902368,0.045256,0.006611,0.007613,-0.998925,
24,175529344,0.024563,0.086893,10.556065,3.861980,-5.843501,-6.971984,0.044259,0.005865,0.007284,-0.998976,
25,175546011,0.052309,0.098151,10.664030,2.346105,-6.761114,-6.917697,0.042981,0.004980,0.007167,-0.999038,
26,175562678,0.111965,0.057030,10.684228,0.920181,-7.440339,-6.770399,0.042132,0.003992,0.007256,-0.999078,
27,175579345,0.177562,0.044625,10.605844,0.120207,-7.579158,-6.398156,0.041153,0.002968,0.007457,-0.999121,
28,175596012,0.229558,0.046216,10.480104,0.181460,-7.236257,-5.705627,0.040650,0.002006,0.007653,-0.999142,
29,175612679,0.300268,0.080473,10.289736,0.574051,-6.365679,-4.875711,0.040228,0.001175,0.007797,-0.999160,
30,175629346,0.373741,0.070840,10.105356,0.642232,-4.721906,-3.957392,0.040820,0.000606,0.007944,-0.999135,
31,175646013,0.405932,0.101317,9.978571,0.138738,-2.542086,-3.244655,0.040121,0.000316,0.008169,-0.999162,
32,175662680,0.464454,0.114719,9.931917,-0.580256,-0.328701,-2.651926,0.039025,0.000335,0.008509,-0.999202,
33,175679347,0.465887,0.087293,10.074036,-1.125960,1.171704,-1.847931,0.038683,0.000580,0.008939,-0.999211,
34,175696014,0.373316,0.033734,10.276227,-1.367283,1.942153,-0.893678,0.038448,0.000941,0.009408,-0.999216,
35,175712681,0.269886,-0.056155,10.500852,-1.759605,2.270534,0.148330,0.037688,0.001338,0.009933,-0.999239,
36,175729348,0.181132,-0.165957,10.614143,-2.358789,2.486923,1.121651,0.038771,0.001798,0.010554,-0.999191,
37,175746015,0.112361,-0.276144,10.625704,-2.943219,2.316560,1.910227,0.038588,0.002198,0.011251,-0.999190,
38,175762682,0.055674,-0.377578,10.549306,-3.432948,2.146479,2.588977,0.039282,0.002594,0.012024,-0.999153,
39,175779349,0.000706,-0.463424,10.417582,-3.860103,1.981405,3.286872,0.040259,0.002968,0.012860,-0.999102,
40,175796016,-0.042304,-0.492884,10.264587,-4.242935,2.333259,3.760962,0.041479,0.003391,0.013754,-0.999039,
41,175812683,-0.023017,-0.490368,10.123970,-4.303548,2.975216,4.226499,0.043171,0.003907,0.014665,-0.998953,
42,175829350,-0.028775,-0.502689,9.979697,-3.664423,3.703847,4.801607,0.043931,0.004523,0.015480,-0.998905,
43,175846017,-0.041558,-0.507688,9.943584,-2.642424,4.402701,5.246679,0.044150,0.005237,0.016146,-0.998881,
44,175862684,-0.066353,-0.479906,9.979795,-1.699864,4.802337,5.660222,0.044124,0.006015,0.016673,-0.998869,
45,175879351,-0.129209,-0.510666,10.043859,-1.251104,4.950878,5.789579,0.045405,0.006828,0.017148,-0.998798,
